,mistake,correct_answer,context,question
0,['Sir Hugh Allen'],Tippett,"Shortly after Michael's birth, the family moved to Wetherden in Suffolk. Michael's education began in 1909, with a nursery governess and various private tutors who followed a  curriculum that included piano lessons—his first formal contact with music. There was a piano in the house, on which he ""took to improvising crazily ... which I called 'composing', though I had only the vaguest notion of what that meant"". In September 1914 Michael became a boarder at Brookfield Preparatory School in Swanage, Dorset. He spent four years there, at one point earning notoriety by writing an essay that challenged the existence of God. In 1918 he won a scholarship to Fettes College, a boarding school in Edinburgh, where he studied the piano, sang in the choir, and began to learn to play the pipe organ. The school was not a happy place; sadistic bullying of the younger pupils was commonplace. When Michael revealed to his parents in March 1920 that he had formed a homosexual relationship with another boy, they removed him. He transferred to Stamford School in Lincolnshire, where a decade previously Malcolm Sargent had been a pupil.Around this time Henry Tippett decided to live in France, and the house in Wetherden was sold. The 15-year-old Michael and his brother Peter remained at school in England, travelling to France for their holidays. Michael found Stamford much more congenial than Fettes, and developed both academically and musically. He found an inspiring piano teacher in Frances Tinkler, who introduced him to the music of Bach, Beethoven, Schubert and Chopin. Sargent had maintained his connection with the school, and was present when Tippett and another boy played a C minor Concerto for Two Harpsichords by Bach on pianos with a local string orchestra. Tippett sang in the chorus when Sargent directed a local performance of Robert Planquette's operetta Les Cloches de Corneville. Despite his parents' wish that he follow an orthodox path by proceeding to Cambridge University, Tippett had firmly decided on a career as a composer, a prospect that alarmed them and was discouraged by his headmaster and by Sargent.By mid-1922 Tippett had developed a rebellious streak. His overt atheism particularly troubled the school, and he was required to leave. He remained in Stamford in private lodgings, while continuing lessons with  Tinkler and with the organist of St Mary's Church. He also began studying Charles Villiers Stanford's book Musical Composition which, he later wrote, ""became the basis of all my compositional efforts for decades to come"". In 1923 Henry Tippett was persuaded that some form of musical career, perhaps as a concert pianist, was possible, and agreed to support his son in a course of study at the Royal College of Music (RCM). After an interview with the college principal, Sir Hugh Allen, Tippett was accepted despite his lack of formal entry qualifications.",What is the last name of the person who won a scholarship to Fettes College?
1,['Chloe'],Lance,"A young couple, Brooke and Lance, are injured in a car accident. At the hospital, Brooke is awakened by a nurse named Barb who informs her that Lance has been seriously injured and is in surgery. Not being able to remember everything that happened, Brooke eventually tells them that she remembers a man crossing the road in front of them just before they hit him, which is strange since Brooke and Lance are the only people who were transported to the hospital. With Lance's upcoming release, it's important that Brooke finds a competent nurse who can look after him while she works. Lance is left to be cared for by an attractive nurse Chloe. However, his health begins to decline after he is administered several doses of Oxycontin, leading Brooke to wonder if his nurse is harming him. Her suspicions are confirmed when a phone call from a stranger brings Chloe's troubled past to light. Soon, they discover that one of the hospital nurses is out to exact revenge.",Who is administered Oxycontin?
2,['Lord Palmerston'],Charles Spencer Cowper,"Sandringham is recorded in the Domesday Book as ""sant-Dersingham"" and the land was awarded to a Norman knight, Robert Fitz-Corbun after the Conquest. The local antiquarian Claude Messent, in his study The Architecture on the Royal Estate of Sandringham, records the discovery of evidence of the pavements of a Roman villa. In the Elizabethan era a manor was built on the site of the present house, which, by the 18th century, came into the possession of the Hoste Henley family, descendants of Dutch refugees. In 1771 Cornish Henley cleared the site to build a Georgian mansion, Sandringham Hall. In 1834, Henry Hoste Henley died without issue, and the estate was bought at auction by John Motteux, a London merchant. Motteux was also without heirs and bequeathed Sandringham, together with another Norfolk estate and a property in Surrey, to the third son of his close friend, Emily Lamb, the wife of Lord Palmerston. At the time of his inheritance in 1843, Charles Spencer Cowper was a bachelor diplomat, resident in Paris. On succeeding to Motteux's estates, he sold the other properties and based himself at Sandringham. He undertook extensions to the hall, employing Samuel Sanders Teulon to add an elaborate porch and conservatory. Cowper's style of living was extravagant—he and his wife spent much of their time on the Continent—and within 10 years the estate was mortgaged for £89,000. The death of their only child, Mary Harriette, from cholera in 1854 led the couple to spend even more time abroad, mainly in Paris, and by the early 1860s Cowper was keen to sell the estate.",What is the full name of Emily Lamb's son?
3,['Mrs. Flaggenheim'],a couple of theatre critics,"Richard ""Dick"" Purcell, a taxi driver, aspires to achieve his dream of becoming a singer. After a couple of theatre critics discover him while riding in his cab, one of them recommends him to a radio producer. The producer's secretary, Alice Hughes, hears him sing and falls in love with him. She sets up an audition for Dick to sing for the sponsor, Mrs. Flaggenheim. He's late for his audition and blows his big chance. 
Convinced she must go to Italy to find a good enough singer, with enough ""romance"" to represent her fine cheese products, Mrs. Flaggenheim takes Alice with her to find one in Venice. Dick watches as Alice boards the ship and manages to get on board and work for his passage to Italy. When in Venice, he looks up his friend and mentor from New York City, professor de Vinci, who had gone ahead to use his old connections to help Dick's singing career. They manage to score a couple of jobs as gondoliers for an upcoming event.
Dick uses the opportunity to showcase his voice. Mrs. Flaggenheim hears him and wants to sign him to a contract immediately, thinking he's an authentic Italian named ""Ricardo Purcelli"". Alice recognizes him, but they continue to hide his true identity and they all go back to New York, where he quickly becomes a radio sensation. Alice's jilted boyfriend finds out Ricardo Purcelli is actually just Dick and gives him an ultimatum. Dick must decide if he wants to continue masquerading as Ricardo and finally attain the fame and fortune he'd always dreamed of....or give it all up for Alice, the one he loves.",Who was the man who's late for his audition discovered by?
4,['Giovanni Battista Doni'],Monteverdi,"At the turn of the 17th century, Monteverdi found himself the target of musical controversy. The influential Bolognese theorist Giovanni Maria Artusi attacked Monteverdi's music (without naming the composer) in his work L'Artusi, overo Delle imperfettioni della moderna musica (Artusi, or On the imperfections of modern music) of 1600, followed by a sequel in 1603. Artusi cited extracts from Monteverdi's works not yet published (they later formed parts of his fourth and fifth books of madrigals of 1603 and 1605), condemning their use of harmony and their innovations in use of musical modes, compared to orthodox polyphonic practice of the sixteenth century. Artusi attempted to correspond with Monteverdi on these issues; the composer refused to respond, but found a champion in a pseudonymous supporter, ""L'Ottuso Academico"" (""The Obtuse Academic""). Eventually Monteverdi replied in the preface to the fifth book of madrigals that his duties at court prevented him from a detailed reply; but in a note to ""the studious reader"", he claimed that he would shortly publish a response, Seconda Pratica, overo Perfettione della Moderna Musica (The Second Style, or Perfection of Modern Music). This work never appeared, but a later publication by Claudio's brother Giulio Cesare made it clear that the seconda pratica which Monteverdi defended was not seen by him as radical change or his own invention, but was an evolution from previous styles (prima pratica) which was complementary to them.This debate seems in any case to have raised the composer's profile, leading to reprints of his earlier books of madrigals. Some of his madrigals were published in Copenhagen in 1605 and 1606, and the poet Tommaso Stigliani published a eulogy of him in his 1605 poem ""O sirene de' fiumi"". The composer of madrigal comedies and theorist Adriano Banchieri wrote in 1609: ""I must not neglect to mention the most noble of composers, Monteverdi ... his expressive qualities are truly deserving of the highest commendation, and we find in them countless examples of matchless declamation ... enhanced by comparable harmonies."" The modern music historian Massimo Ossi has placed the Artusi issue in the context of Monteverdi's artistic development: ""If the controversy seems to define Monteverdi's historical position, it also seems to have been about stylistic developments that by 1600 Monteverdi had already outgrown"".The non-appearance of Monteverdi's promised explanatory treatise may have been a deliberate ploy, since by 1608, by Monteverdi's reckoning, Artusi had become fully reconciled to modern trends in music, and the seconda pratica was by then well established; Monteverdi had no need to revisit the issue. On the other hand, letters to Giovanni Battista Doni of 1632 show that Monteverdi was still preparing a defence of the seconda practica, in a treatise entitled Melodia; he may still have been working on this at the time of his death ten years later.",What is the last name of the person that released the fourth and fifth books of madrigals of 1603 and 1605?
5,['Rakoto Frah'],Philibert Rabezoza,"Philibert Rabezoza (1923 – 29 September 2001), better known by the name Rakoto Frah, was a flautist and composer of traditional music of the central highlands of Madagascar. Born in 1923 near the capital city of Antananarivo to a poor rural family, Rakoto Frah surmounted the challenges posed by his underprivileged origins to become the most acclaimed 20th century performer of the sodina flute, one of the oldest traditional instruments on the island. Through frequent international concerts and music festival performances, he promoted the music of the highlands of Madagascar and became one of the most famous Malagasy artists, both within Madagascar and on the world music scene.
After gaining regional recognition for his sodina skills as a youth, Rakoto Frah rose to national fame in 1958 when he was selected by Malagasy President Philibert Tsiranana to perform on the sodina for the visiting French president Charles de Gaulle. This event launched his career as a professional musician.  He first played at traditional ceremonies around the country, then expanded his performances from 1967 to include participation in international music competitions and festivals. His popularity declined in the 1970s but underwent a revival that began in the mid-1980s and continued until his death in 2001. During this period Rakoto Frah recorded ten albums, toured extensively in Madagascar and overseas, was featured in two French documentaries, and collaborated with a variety of international and Malagasy artists. Over the course of his career he recorded over 800 original compositions. Rakoto Frah and his sodina were depicted on the 200 ariary Malagasy banknote in honor of his key role in revitalizing and internationally popularizing the sodina. Despite the artist's worldwide acclaim, he lived simply and died having earned little from his lifetime of musicianship. His death was widely mourned and marked by a state funeral, and in 2011 a famadihana (the Malagasy highland ""turning of the bones"" funerary tradition) was organized to celebrate the artist's life.",What is the real name of the person who was selected by Malagasy President Philibert Tsiranana to perform on the sodina for the visiting French president?
6,['Lucello'],Peters,"Teenager Elena Peters and her friends, Missy and Josh, go to a party. Elena witnesses her boyfriend, Brian, with another woman. She leaves the dance floor and enters an isolated room. There, she discovers a red trunk and opens it to find a severely injured Arkin O'Brien. Arkin grabs Elena and they dodge a steel spear, which triggers a series of deadly traps that kill everyone on the dance floor. The Collector appears and kidnaps Elena, while Arkin escapes by jumping out of a window, landing on a car and breaking his arm in the process.
Arkin is later taken to the hospital, where he is arrested by the police and put under constant surveillance due to his own criminal record. After suffering nightmares of his torture from the Collector, he is approached by Lucello, an employee of Elena's wealthy father, who has hired a team of mercenaries to hunt the Collector down and save Elena. Lucello implies that if Arkin leads them to the Collector's hideout, he will expunge Arkin's record. Arkin leads the mercenary group to the Collector's base, an abandoned hotel. Meanwhile, Elena witnesses a man being tortured before escaping from the trunk. Upon the team's arrival, Arkin refuses to go inside, but Lucello forces him at gunpoint to guide them through the hotel. The Collector reenters the room and notices Elena has escaped before being alerted to the team's presence.",What is the last name of the person that the Collector notices has escaped? 
7,['The New York Times'],Marie Claire,"While Perry's music incorporates pop, rock, and disco, Katy Hudson contains gospel. Her subsequent releases, One of the Boys and Teenage Dream, involve themes of sex and love. One of the Boys is a pop rock record, while Teenage Dream features disco influences. Perry's fourth album, Prism, is significantly influenced by dance and pop music. Lyrically, the album addresses relationships, self-reflection, and everyday life. The singer's fifth studio effort Witness is an electropop album that she described as a ""360-degree liberation"" record, with themes including political liberation, sexual liberation, and liberation from negativity. Many of her songs, particularly on Teenage Dream, reflect on love between teenagers; W described the album's sexual innuendos as ""irresistible hook-laden melodies"". Self-empowerment is a common theme in Perry's music.Perry describes herself as a ""singer-songwriter masquerading as a pop star"" and maintains that honest songwriting is very important to her. She told Marie Claire: ""I feel like my secret magic trick that separates me from a lot of my peers is the bravery to be vulnerable and truthful and honest. I think you become more relatable when you're vulnerable."" Kristen Wiig commented that ""as easy, breezy, and infectious as Perry's songs can be, beneath the surface lurks a sea of mixed emotions, jumbled motives, and contradictory impulses complicated enough to fill a Carole King record."" According to Greg Kot of the Chicago Tribune, ""being taken seriously may be Perry's greatest challenge yet."" The New York Times labeled her ""the most potent pop star of the day – her hits are relatable with just a hint of experimentation"". Randall Roberts of the Los Angeles Times criticized her use of idioms and metaphors in her lyrics and for frequent ""clichés"". Throughout her career, Perry has co-written songs recorded by other artists, including Selena Gomez & the Scene, Jessie James, Kelly Clarkson, Lesley Roy, Britney Spears, Iggy Azalea, Ariana Grande, and Nicki Minaj.",What is the name of the magazine that Perry told that you become more relatable when you're vulnerable?
8,['Annie Hayworth'],Cathy,"Melanie Daniels, a young socialite, meets criminal defense attorney Mitch Brenner in a San Francisco pet shop. Mitch wants to purchase a pair of lovebirds for his sister's eleventh birthday, but the shop has none. He recognizes Melanie from a court appearance, but she does not know him; he plays a prank by pretending to mistake her for a saleswoman. Melanie is infuriated by the prank—but finds herself romantically intrigued by Mitch.
Melanie purchases a pair of lovebirds and drives to Mitch's weekend address in Bodega Bay to deliver them. Wanting to surprise him, she rents a motorboat so she can approach the Brenner house from the bay instead of the road. She sneaks the birds inside the house and heads back across the bay. Mitch discovers the birds, spots Melanie's boat during her retreat, and drives around the bay to meet her. Melanie is attacked and injured by a seagull near shore on the town side. Mitch treats her abrasion and invites her to dinner; she hesitantly agrees.
Melanie gets to know Mitch, his domineering mother Lydia, and his younger sister Cathy. She also befriends local school teacher Annie Hayworth, Mitch's ex-lover. While spending the night at Annie's house, she and Annie are startled by a loud thud: a gull kills itself by flying into the front door. At Cathy's birthday party the next day, the guests are attacked by seagulls. The following evening, sparrows invade the Brenner home through the chimney.",Who is the sister of the man who was lovers with a local school teacher?
9,['his sons'],Masimilliano,"The opening of the opera house of San Cassiano in 1637, the first public opera house in Europe, stimulated the city's musical life and coincided with a new burst of the composer's activity. 1638 saw the publication of Monteverdi's eighth book of madrigals and a revision of the Ballo delle ingrate. The eighth book contains a ballo, ""Volgendi il ciel"", which may have been composed for the Holy Roman Emperor, Ferdinand III, to whom the book is dedicated. The years 1640–1641 saw the publication of the extensive collection of church music, Selva morale e spirituale. Among other commissions, Monteverdi wrote music in 1637 and 1638 for Strozzi's ""Accademia degli Unisoni"" in Venice, and in 1641 a ballet, La vittoria d'Amore, for the court of Piacenza.Monteverdi was still not entirely free from his responsibilities for the musicians at San Marco. He wrote to complain about one of his singers to the Procurators, on 9 June 1637: ""I, Claudio Monteverdi ... come humbly ... to set forth to you how Domenicato Aldegati ... a bass, yesterday morning ... at the time of the greatest concourse of people ... spoke these exact words ...'The Director of Music comes from a brood of cut-throat bastards, a thieving, fucking, he-goat ... and I shit on him and whoever protects him ...'"".Monteverdi's contribution to opera at this period is notable. He revised his earlier opera L'Arianna in 1640 and wrote three new works for the commercial stage, Il ritorno d'Ulisse in patria (The Return of Ulysses to his Homeland, 1640, first performed in Bologna with Venetian singers), Le nozze d'Enea e Lavinia (The Marriage of Aeneas and Lavinia, 1641, music now lost), and L'incoronazione di Poppea (The Coronation of Poppea, 1643). The introduction to the printed scenario of Le nozze d'Enea, by an unknown author, acknowledges that Monteverdi is to be credited for the rebirth of theatrical music and that ""he will be sighed for in later ages, for his compositions will surely outlive the ravages of time.""In his last surviving letter (20 August 1643), Monteverdi, already ill, was still hoping for the settlement of the long-disputed pension from Mantua, and asked the Doge of Venice to intervene on his behalf. He died in Venice on 29 November 1643, after paying a brief visit to Cremona, and is buried in the Church of the Frari. He was survived by his sons; Masimilliano died in 1661, Francesco after 1677.",What are the individual names of the two sons Monteverdi was survived by?
